Tên đường,Tên phường,Quận,Giấy tờ pháp lý,Diện tích,Số tầng,Số phòng ngủ,Số nhà vệ sinh,Hướng cửa chính,Loại hình nhà ở,Giá (VNĐ),Giá hiển thị,Giá/m² (VNĐ)
Đường Số 14A,Phường Tân Thuận Tây,Quận 7,1,133,1,3,3,Hướng Đông,"Nhà mặt phố, mặt tiền",18500000000,"18,5 tỷ",139.09775
Đường Hiệp Thành 13,Phường Hiệp Thành,Quận 12,1,125,,4,,,"Nhà mặt phố, mặt tiền",6500000000,"6,5 tỷ",52
Hẻm 373 Lý Thường Kiệt,Phường 9,Quận Tân Bình,1,25,,2,,,"Nhà mặt phố, mặt tiền",4350000000,"4,35 tỷ",174
Đường Quang Trung,Phường 10,Quận Gò Vấp,1,72,1,3,2,Hướng Đông Nam,"Nhà ngõ, hẻm",6000000000,6 tỷ,83.333336
cây bàng,Xã Tân Kiên,Huyện Bình Chánh,1,93.9,1,3,2,,"Nhà mặt phố, mặt tiền",1050000000,"1,05 tỷ",11.182109
Đường Phạm Văn Đồng,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,90,5,10,7,,"Nhà ngõ, hẻm",9400000000,"9,4 tỷ",104.44444
Đường Lê Văn Sỹ,Phường 12,Quận 3,1,72,6,11,7,,"Nhà ngõ, hẻm",16500000000,"16,5 tỷ",229.16667
151/67 liên khu 45,Phường Bình Hưng Hoà B,Quận Bình Tân,1,60,5,5,5,Hướng Đông,"Nhà ngõ, hẻm",4980000000,"4,98 tỷ",83
Đường Liên Ấp 1-2-3,Xã Vĩnh Lộc B,Huyện Bình Chánh,1,320,2,3,2,,"Nhà ngõ, hẻm",8600000000,"8,6 tỷ",26.875
Đường Nguyễn Văn Quỳ,Phường Phú Thuận,Quận 7,5,28,1,2,2,,"Nhà ngõ, hẻm",1980000000,"1,98 tỷ",70.71429
Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,1,64,4,4,4,Hướng Đông,"Nhà ngõ, hẻm",4880000000,"4,88 tỷ",76.25
Đường Nguyễn Thiện Thuật,Phường 3,Quận 3,1,34,4,5,3,Hướng Tây Nam,"Nhà ngõ, hẻm",6850000000,"6,85 tỷ",201.47058
Đường Nguyễn Thị Thảnh,Xã Thới Tam Thôn,Huyện Hóc Môn,1,48,,2,2,,Nhà phố liền kề,1750000000,"1,75 tỷ",36.458332
Cao Thắng Hòa Hưng,Phường 13,Quận 10,1,31,,4,,,"Nhà ngõ, hẻm",5000000000,5 tỷ,161.29033
Đường Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,1,240,2,11,7,,"Nhà ngõ, hẻm",9690000000,"9,69 tỷ",40.375
Đường Tô Ký,Xã Tân Xuân,Huyện Hóc Môn,1,102,3,4,4,Hướng Tây Bắc,Nhà biệt thự,6700000000,"6,7 tỷ",65.68627
Đường 26 Tháng 3,Phường Bình Hưng Hòa,Quận Bình Tân,1,30,2,2,2,,"Nhà ngõ, hẻm",2990000000,"2,99 tỷ",99.666664
Đường Huỳnh Tấn Phát,Phường Tân Thuận Tây,Quận 7,1,55,2,2,2,Hướng Tây,"Nhà ngõ, hẻm",4650000000,"4,65 tỷ",84.545456
nguyễn văn luông,Phường 12,Quận 6,1,206,2,5,2,Hướng Nam,"Nhà ngõ, hẻm",18500000000,"18,5 tỷ",89.805824
Đường Dương Công Khi,Xã Xuân Thới Thượng,Huyện Hóc Môn,1,10,1,2,1,,"Nhà mặt phố, mặt tiền",795000000,795 triệu,79.5
Đường Dương Công Khi,Xã Xuân Thới Thượng,Huyện Hóc Môn,1,10,1,2,1,,"Nhà mặt phố, mặt tiền",795000000,795 triệu,79.5
Đường B3,Phường Tây Thạnh,Quận Tân Phú,1,40,1,2,2,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",4000000000,4 tỷ,100
Đường Dương Quảng Hàm,Phường 6,Quận Gò Vấp,1,46,,4,4,,"Nhà mặt phố, mặt tiền",12500000000,"12,5 tỷ",271.73914
Đường Lê Văn Khương,Phường Hiệp Thành,Quận 12,1,44,2,2,2,,"Nhà ngõ, hẻm",3700000000,"3,7 tỷ",84.09091
Đường Nguyễn Thị Tần,Phường 2,Quận 8,1,60.5,5,5,6,,"Nhà ngõ, hẻm",11500000000,"11,5 tỷ",190.08264
Đường Số 8,Phường Bình Hưng Hoà B,Quận Bình Tân,1,56,,3,,,"Nhà mặt phố, mặt tiền",4800000000,"4,8 tỷ",85.71429
Đường Nguyễn Duy Trinh,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,1,72,3,4,5,,"Nhà mặt phố, mặt tiền",8350000000,"8,35 tỷ",115.97222
Đường Quốc lộ 13,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,82.1998,3,4,5,,"Nhà mặt phố, mặt tiền",7700000000,"7,7 tỷ",93.674194
Đường Phan Huy Ích,Phường 12,Quận Gò Vấp,1,105,4,4,7,Hướng Bắc,Nhà biệt thự,13400000000,"13,4 tỷ",127.61905
Đường Tỉnh lộ 7,Xã Phước Thạnh,Huyện Củ Chi,1,150,,2,2,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",730000000,730 triệu,4.866667
Cầu Vượt Quang Trung 1,Phường Tân Chánh Hiệp,Quận 12,1,63,,2,,,"Nhà ngõ, hẻm",2780000000,"2,78 tỷ",44.126984
Đường Trần Đại Nghĩa,Xã Tân Kiên,Huyện Bình Chánh,1,80,2,4,3,,"Nhà mặt phố, mặt tiền",840000000,840 triệu,10.5
Đường Tân Kỳ Tân Quý,Phường Bình Hưng Hòa,Quận Bình Tân,1,25,,2,2,,"Nhà ngõ, hẻm",2800000000,"2,8 tỷ",112
Đường Lê Văn Lương,Xã Phước Kiển,Huyện Nhà Bè,1,236,,1,,,"Nhà ngõ, hẻm",10000000000,10 tỷ,42.372883
Thạnh Xuân,Phường Thạnh Xuân,Quận 12,1,484,,6,6,,Nhà biệt thự,45000000000,45 tỷ,92.975204
Đường Hương Lộ 2,Phường Bình Trị Đông,Quận Bình Tân,1,64,,5,5,Hướng Đông,"Nhà ngõ, hẻm",6300000000,"6,3 tỷ",98.4375
Đường Nguyễn Tất Thành,Phường 13,Quận 4,1,30,,4,,,"Nhà ngõ, hẻm",2400000000,"2,4 tỷ",80
Đường Nguyễn Văn Khối,Phường 11,Quận Gò Vấp,1,72,,4,6,,"Nhà mặt phố, mặt tiền",16500000000,"16,5 tỷ",229.16667
Đường Chiến Lược,Phường Bình Trị Đông A,Quận Bình Tân,1,45,2,3,2,,"Nhà ngõ, hẻm",3800000000,"3,8 tỷ",84.44444
Đường Âu Cơ,Phường Tân Thành,Quận Tân Phú,1,52,,1,,,"Nhà mặt phố, mặt tiền",7500000000,"7,5 tỷ",144.23077
Đường Đặng Văn Bi,Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,1,65,1,2,,,"Nhà ngõ, hẻm",3850000000,"3,85 tỷ",59.23077
Đường Bến Bình Đông,Phường 15,Quận 8,5,14,,1,1,,"Nhà ngõ, hẻm",620000000,620 triệu,44.285713
Cách mạng tháng tám,Phường 15,Quận 10,1,58,2,2,,,"Nhà mặt phố, mặt tiền",11200000000,"11,2 tỷ",193.10345
Đường Nguyễn Sơn,Phường Phú Thọ Hòa,Quận Tân Phú,1,56,2,2,2,Hướng Đông,"Nhà ngõ, hẻm",4300000000,"4,3 tỷ",76.78571
Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,1,25.2,,1,,Hướng Tây Bắc,"Nhà ngõ, hẻm",2450000000,"2,45 tỷ",97.22222
Hẻm 95 Lê Văn Lương,Phường Tân Kiểng,Quận 7,1,50.4,4,4,4,,"Nhà mặt phố, mặt tiền",6790000000,"6,79 tỷ",134.72223
Đường 59,Phường 14,Quận Gò Vấp,1,40,,4,,,"Nhà ngõ, hẻm",6000000000,6 tỷ,150
Đường Nguyễn Thị Tần,Phường 2,Quận 8,1,48,2,2,2,,"Nhà ngõ, hẻm",4650000000,"4,65 tỷ",96.875
Đường Nguyễn Thị Thập,Phường Tân Phú,Quận 7,6,16,2,2,1,Hướng Nam,"Nhà ngõ, hẻm",640000000,640 triệu,40
Đường Nguyễn Thị Thảnh,Xã Thới Tam Thôn,Huyện Hóc Môn,1,711,2,4,5,Hướng Tây,Nhà biệt thự,20000000000,20 tỷ,28.129395
Nguyễn Sơn,Phường Phú Thạnh,Quận Tân Phú,1,75,,3,,,"Nhà ngõ, hẻm",6500000000,"6,5 tỷ",86.666664
Đường số 7,Phường Bình Trị Đông B,Quận Bình Tân,1,120,3,5,4,Hướng Bắc,"Nhà mặt phố, mặt tiền",27000000000,27 tỷ,225
Đường Trịnh Đình Trọng,Phường Hòa Thạnh,Quận Tân Phú,1,123,,11,,,"Nhà mặt phố, mặt tiền",15500000000,"15,5 tỷ",126.01626
